page_BiÉg	letter	date	URL BiEg	lieu	auteur	destinataire	places	person	objet	expression	group
1	1	1828-05-03	https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f24	Gémialé	Drovetti	Champollion	Égypte, Londres, Empire ottoman	Mohammed-Aly			
2	1	1828-05-03	https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f25	Gémialé	Drovetti	Champollion		Rosselini			
2	2	1828-05-26	https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f25	Paris	Champollion	Gazzera	Louvre, Égypte				
3	2	1828-05-26	https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f26	Paris	Champollion	Gazzera	Toulon, Égypte, Europe, Turin, Alexandrie, Thèbes	Dieu, Prophète, Costa			
4	2	1828-05-26	https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f27	Paris	Champollion	Gazzera	Académie royale toscane, Musée égyptien de Florence	Plana, Boucheron, Pauli, Peyron, Letronne, Balbe, Sclopis			
4	3	1828-06-11	https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f27	Paris	Champollion	Grand-duc de Toscane	Égypte				
5	3	1828-06-11	https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f28	Paris	Champollion	Grand-duc de Toscane	Égypte, Méditerranée, Orient, Nubie	ministre de la marine de France, Mohammed-Aly			
5	4	1828-07-09	https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f28	Paris	Champollion	Gazzera	Toulon	Costa			
6	4	1828-07-09	https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f29	Paris	Champollion	Gazzera	Égypte	Plana, Peyron, Boucheron, Pauli, Sclopis			
6	5	1828-07-10	https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f29	Paris	Champollion	Thévenet	Europe, Grenoble, Toulon, Alexandrie	Églé			
7	5	1828-07-10	https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f30	Paris	Champollion	Thévenet	Lyon, Aix, Afrique, Artaud, musée de Lyon, palais de Saint-Pierre				
7	diary	1828-08-16	https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f30	Paris	Champollion						
7	diary	1828-08-17	https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f30	Auxerre	Champollion		Auxerre				
7	diary	1828-08-17	https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f30	Avallon	Champollion		Avallon	duc de Luynes			
7	diary	1828-08-17	https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f30	Autun	Champollion		Autun				
7	diary	1828-07-18	https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f30	Chalon	Champollion		Chalon				
7	diary	1828-07-18	https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f30	Mâcon	Champollion		Mâcon				
7	diary	1828-07-18	https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f30	Lyon	Champollion		musée de Lyon	Artaud			
8	diary	1828-07-18	https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f31	Lyon	Champollion						
8	diary	1828-07-19	https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f31	Lyon	Champollion			Révoil			
