entry	language	normalised form	type	coordinates	Note	Geonames	Trismegistos
Abiar	arabe francisé	Ibiar	place	30.83844, 30.86376 		https://www.geonames.org/361886	
Abou-Nechabêh	arabe francisé	Abou Nichabah	place	30.37087, 30.8561 		https://www.geonames.org/362302	
Aboukir	arabe francisé	Aboukir	place	31.31104, 30.06121 		https://www.geonames.org/362288	https://www.trismegistos.org/place/1001
Aboulkhaous	arabe francisé	Abou al-Khaouy	place	30.59413, 30.80712 	identification incertaine.	https://www.geonames.org/362887	
Abousir	arabe francisé	Abousir	place	30.94545, 29.51891 		https://www.geonames.org/9781955	https://www.trismegistos.org/place/2260
Abydos	français	Abydos	place	26.18627, 31.91606 		https://www.geonames.org/11495800	https://www.trismegistos.org/place/34
Afrique	français	Afrique	place	7.1881, 21.09375 		https://www.geonames.org/6255146	
Agrigente	français	Agrigente	place	37.31065, 13.57661 		https://www.geonames.org/2525764	https://www.trismegistos.org/place/22270
aiguille de Cléopâtre	français		place	31.20098, 29.89939 		https://www.geonames.org/9094660	
Aix	français	Aix-en-Provence	place	43.5283, 5.44973 		https://www.geonames.org/3038354	https://www.trismegistos.org/place/20500
Alexandrie	français	Alexandrie	place	31.20176, 29.91582 		https://www.geonames.org/361058	https://www.trismegistos.org/place/100
Alkam	arabe francisé	Alqam	place	30.55162, 30.81112 		https://www.geonames.org/360619	
Alpes	français	Alpes	place	46.41667, 10 		https://www.geonames.org/2661786	
Amrous	arabe francisé	Amrous	place	30.66467, 30.80507 		https://www.geonames.org/360407	
Andrinople	français	Andrinople	place	41.67719, 26.55597 		https://www.geonames.org/747712	https://www.trismegistos.org/place/38353
Angleterre	français	Angleterre	place	52.16045, -0.70312 		https://www.geonames.org/6269131	https://www.trismegistos.org/place/19851
Aschmoûm	arabe francisé	Achmoun	place	30.29735, 30.97641 		https://www.geonames.org/360048	https://www.trismegistos.org/place/3716
Atféh	arabe francisé	Al-Atf	place	31.18987, 30.51991 		https://www.geonames.org/361519	
Athènes	français	Athènes	place	37.98376, 23.72784 		https://www.geonames.org/264371	https://www.trismegistos.org/place/364
Attariéh	arabe francisé		place		non identifié.		
Autriche	français	Autriche	place	47.33333, 13.33333 		https://www.geonames.org/2782113	https://www.trismegistos.org/place/3292
Autun	français	Autun	place	46.95104, 4.29869 		https://www.geonames.org/3035883	https://www.trismegistos.org/place/3265
Auxerre	français	Auxerre	place	47.7975, 3.56694 		https://www.geonames.org/6455325	https://www.trismegistos.org/place/23636
Avallon	français	Avallon	place	47.49, 3.90833 		https://www.geonames.org/6451826	https://www.trismegistos.org/place/23642
Avignon	français	Avignon	place	43.94861, 4.80833 		https://www.geonames.org/6455379	https://www.trismegistos.org/place/20832
Babylone	français	Babylone d’Égypte	place	30.00665, 31.23194 		https://www.geonames.org/7923022	https://www.trismegistos.org/place/389
Bagdad	français	Bagdad	place	33.34058, 44.40088 		https://www.geonames.org/98182	https://www.trismegistos.org/place/47862
Barkal	arabe francisé	Gebel Barkal	place	18.53333, 31.83333 		https://www.geonames.org/377655	https://www.trismegistos.org/place/3453
Basse-Égypte	français	Basse-Égypte	place	31,31		https://www.geonames.org/352260	https://www.trismegistos.org/place/2712
Bathn-el-Bakarah	arabe francisé	Bathn-el-Baqarah	place		non identifié.		
Bathn-el-Baqarah	arabe francisé	Bathn-el-Baqarah	place		non identifié.		
Bédréschéïn	arabe francisé	Badrachayn	place	29.85, 31.26667 		https://www.geonames.org/361473	
Benoufar	arabe francisé	Binoufar	place	30.82961, 30.78521 		https://www.geonames.org/358802	
Bischtâmé	arabe francisé	Bichtamy	place	30.64029, 30.80269 		https://www.geonames.org/358744	
Boulaq	arabe francisé	Boulaq	place	30.06041, 31.23147 		https://www.geonames.org/358683	
Brésil	français	Brésil	place	-10, -55 		https://www.geonames.org/3469034	
Canope	français	Aboukir	place	31.31104, 30.06121 		https://www.geonames.org/362288	https://www.trismegistos.org/place/1001
cap Lochias	français	Lochias (cap)	place	31.2114995,29.9053838			
cap Rasat			place		non identifié avec précision ; point le plus septentrional de la Libye.		
Chalon	français	Chalon-sur-Saône	place	46.78112, 4.85372 		https://www.geonames.org/3027484	https://www.trismegistos.org/place/22924
Cherbourg	français	Cherbourg	place	49.6386, -1.6147 		https://www.geonames.org/6614508	https://www.trismegistos.org/place/23828
Chereus	Latin (?)	Kerioun	place		non identifié.		
Chypre	français	Chypre	place	35.00304, 32.98791 		https://www.geonames.org/146670	https://www.trismegistos.org/place/528
colonne de Pompée	français		place	31.18259, 29.89643 		https://www.geonames.org/9111405	
Constantinople	français	Constantinople	place	41.01384, 28.94966 		https://www.geonames.org/745044	https://www.trismegistos.org/place/478
Cumino		Comino	place	36.01226, 14.33669 		http://www.geonames.org/2562820	
Cyrénaïque	français	Cyrénaïque	place	31, 22.5 		http://www.geonames.org/88252	https://www.trismegistos.org/place/529
Dahschour	arabe francisé	Dahchour	place	29.8, 31.23333 		https://www.geonames.org/352403	https://www.trismegistos.org/place/2751
Damiette	français	Damiette	place	31.41648, 31.81332 		https://www.geonames.org/358048	https://www.trismegistos.org/place/3054
Danassour	arabe francisé	Danassour	place	30.60707, 30.81904 		https://www.geonames.org/358427	
Déir-et-tin	arabe francisé	Deir at-Tin	place	29.98333, 31.23333 		https://www.geonames.org/358277	
Delta	français	Delta	place	30.85, 31.2 		https://www.geonames.org/351037	https://www.trismegistos.org/place/2712
Dendéra	arabe francisé		place	26.16874, 32.65719 		https://www.geonames.org/358422	https://www.trismegistos.org/place/2312
désert Libyque	français	désert Libyque	place	23.56469, 26.15585 		https://www.geonames.org/353306	
Désouk	arabe francisé	Dasouq	place	31.13259, 30.64784 		https://www.geonames.org/358108	
Dimischili	arabe francisé	Dimichli	place	30.52257, 30.83356 		https://www.geonames.org/358157	
Dongola	arabe francisé		place	19.18163, 30.47689 		https://www.geonames.org/363417	https://www.trismegistos.org/place/5080
Égypte	français	Égypte	place	27,30.0		https://www.geonames.org/357994	https://www.trismegistos.org/place/49
El-Azhar (mosquée)	arabe francisé		place	30.04559, 31.2627 		https://www.geonames.org/7913965	
El-Dhahariéh	arabe francisé	Ad-Dahariyyah	place	30.85159, 30.76699 		https://www.geonames.org/361860	
El-Ezbêkiéh	arabe francisé	Ezbekiyah	place	30.052778, 31.248333 			
El-Ezbêkiéh	arabe francisé	Ezbekiyah	place	30.052778, 31.248333 			
El-Kérioun	arabe francisé	El-Karioun	place	31.14093, 30.19081 		https://www.geonames.org/360962	https://www.trismegistos.org/place/3216
El-Méniéh	arabe francisé	Minyat Ganag	place	31.01424, 30.73501 		https://www.geonames.org/352337	
El-Méniéh-Ghénagh	arabe francisé	Minyat Ganag	place	31.01424, 30.73501 		https://www.geonames.org/352337	
El-Qâthah	arabe francisé	El-Qata	place	30.22232, 30.97225 		https://www.geonames.org/360571	
El-Ssafé	arabe francisé	As-Safiyyah	place	31.06584, 30.72774 		https://www.geonames.org/359897	
El-Zaïrah	arabe francisé	Az-Zaylah	place		non identifié.		
Éléthya		El-Kab	place	25.11952, 32.79812 		https://www.geonames.org/360986	https://www.trismegistos.org/place/611
Embabéh	arabe francisé	Imbabah	place	30.08333, 31.21667 		https://www.geonames.org/355548	
Empire ottoman	français	Empire ottoman	place	41,29			
Etbié	arabe francisé		place		non identifié.		
Éthiopie	français	Éthiopie	place	9, 39.5 		https://www.geonames.org/337996	https://www.trismegistos.org/place/51
Europe	français	Europe	place	48.69096, 9.14062 		http://www.geonames.org/6255148	https://www.trismegistos.org/place/3229
Ezbékiéh	arabe francisé	Ezbekiyah	place	30.052778, 31.248333 			
Favignana	italien	Favignana	place	37.93333, 12.31667 		https://www.geonames.org/2524779	https://www.trismegistos.org/place/42873
Fosthath	arabe francisé	Fustat	place	30.00286, 31.24061 		https://www.geonames.org/7913023	https://www.trismegistos.org/place/389
Fouah	arabe francisé	Fouah	place	31.20365, 30.54908 		https://www.geonames.org/356806	https://www.trismegistos.org/place/3648
France	français	France	place	46,2		https://www.geonames.org/3017382	https://www.trismegistos.org/place/693
Gémialé			place		non identifié.		
Gênes	français	Gênes	place	44.40478, 8.94439 		http://www.geonames.org/3176219	https://www.trismegistos.org/place/14373
Ghénagh	arabe francisé	Ganag	place	30.99904, 30.77679 		https://www.geonames.org/355189	
Ghêzaïeh	arabe francisé	Gizay	place	30.46293, 30.84773 		https://www.geonames.org/355015	
Girgenti	italien	Agrigente	place	37.31065, 13.57661 		https://www.geonames.org/2525764	
Gizéh	arabe francisé	Gizah	place	30.00944, 31.20861 		https://www.geonames.org/360995	https://www.trismegistos.org/place/716
Gobaris		Qabrit	place	31.20211, 30.58573 	forme donnée par la Commission d’Égypte.	https://www.geonames.org/350849	
Gouddabé	arabe francisé	Ghouddaby (?)	place		non identifié.		
