name	lat	lon	coordinates	note	Geonames_url	Trismegistos_url	"page_url"
Abiar	30.83844	30.86376 	30.83844, 30.86376 		https://www.geonames.org/361886		"p. [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f95|66]]"
Abou-Nechabêh	30.37087	30.8561 	30.37087, 30.8561 		https://www.geonames.org/362302		"p. [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f99|70]]"
Aboukir	31.31104	30.06121 	31.31104, 30.06121 		https://www.geonames.org/362288	https://www.trismegistos.org/place/1001	"p. [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f77|52]]"
Aboulkhaous	30.59413	30.80712 	30.59413, 30.80712 	Note : identification incertaine.	https://www.geonames.org/362887		"p. [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f96|67]]"
Abousir	30.94545	29.51891 	30.94545, 29.51891 		https://www.geonames.org/9781955	https://www.trismegistos.org/place/2260	"p. [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f41|18]]"
Abydos	26.18627	31.91606 	26.18627, 31.91606 		https://www.geonames.org/11495800	https://www.trismegistos.org/place/34	"p. [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f117|88]]"
Afrique	7.1881	21.09375 	7.1881, 21.09375 		https://www.geonames.org/6255146		"p. [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f30|7]], [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f32|9]], [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f39|16]], p. [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f41|18]], p. [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f47|24]], [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f53|30]], [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f103|74]]"
Agrigente	37.31065	13.57661 	37.31065, 13.57661 		https://www.geonames.org/2525764	https://www.trismegistos.org/place/22270	"p. [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f38|15]], [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f39|16]], [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f40|17]], [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f41|18]], [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f53|30]]"
aiguilles de Cléopâtre	31.20098	29.89939 	31.20098, 29.89939 		https://www.geonames.org/9094660		"p. [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f48|25]], [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f51|28]]"
Aix	43.5283	5.44973 	43.5283, 5.44973 		https://www.geonames.org/3038354	https://www.trismegistos.org/place/20500	"p. [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f30|7]], [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f33|10]], [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f34|11]], [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f35|12]]"
Alexandrie	31.20176	29.91582 	31.20176, 29.91582 		https://www.geonames.org/361058	https://www.trismegistos.org/place/100	"p. [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f26|3]], [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f29|6]], [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f36|13]], [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f42|19]], [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f43|20]], [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f44|21]], [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f45|22]], [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f46|23]], [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f48|25]], [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f49|26]], [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f50|27]], [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f51|28]], [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f54|31]], [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f55|32]], [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f56|33]], [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f61|36]], [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f62|37]], [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f63|38]], [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f66|41]], [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f67|42]], [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f70|45]], [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f71|46]], [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f72|47]], [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f75|50]], [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f77|52]], [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f83|58]], [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f103|74]], [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f108|79]], [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f108|79]], [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f113|84]]"
Alkam	30.55162	30.81112 	30.55162, 30.81112 		https://www.geonames.org/360619		"p. [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f96|67]]"
Alpes	46.41667	10	46.41667, 10 		https://www.geonames.org/2661786		"p. [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f37|14]]"
Amrous	30.66467	30.80507 	30.66467, 30.80507 		https://www.geonames.org/360407		"p. [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f96|67]]"
Andrinople	41.67719	26.55597 	41.67719, 26.55597 		https://www.geonames.org/747712	https://www.trismegistos.org/place/38353	"p. [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f65|40]]"
Angleterre	52.16045	-0.70312 	52.16045, -0.70312 		https://www.geonames.org/6269131	https://www.trismegistos.org/place/19851	"p. [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f81|56]]"
Aschmoûm	30.29735	30.97641 	30.29735, 30.97641 		https://www.geonames.org/360048	https://www.trismegistos.org/place/3716	"p. [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f112|83]], [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f99|70]], [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f100|71]]"
Atféh	31.18987	30.51991 	31.18987, 30.51991 		https://www.geonames.org/361519		"p. [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f77|52]], [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f77|52]]"
Athènes	37.98376	23.72784 	37.98376, 23.72784 		https://www.geonames.org/264371	https://www.trismegistos.org/place/364	"p. [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f93|64]], [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f111|82]]"
Attariéh				Note : non identifié.			"p. [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f96|67]]"
Autriche	47.33333	13.33333 	47.33333, 13.33333 		https://www.geonames.org/2782113	https://www.trismegistos.org/place/3292	"p. [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f76|51]]"
Autun	46.95104	4.29869	46.95104, 4.29869 		https://www.geonames.org/3035883	https://www.trismegistos.org/place/3265	"p. [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f30|7]]"
Auxerre	47.7975	3.56694	47.7975, 3.56694 		https://www.geonames.org/6455325	https://www.trismegistos.org/place/23636	"p. [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f30|7]]"
Avallon	47.49	3.90833	47.49, 3.90833 		https://www.geonames.org/6451826	https://www.trismegistos.org/place/23642	"p. [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f30|7]]"
Avignon	43.94861	4.80833	43.94861, 4.80833 		https://www.geonames.org/6455379	https://www.trismegistos.org/place/20832	"p. [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f31 |8]]"
Babylone	30.00665	31.23194 	30.00665, 31.23194 		https://www.geonames.org/7923022	https://www.trismegistos.org/place/389	"p. [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f120|91]]"
Bagdad	33.34058	44.40088 	33.34058, 44.40088 		https://www.geonames.org/98182	https://www.trismegistos.org/place/47862	"p. [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f105|76]]"
Barkal	18.53333	31.83333 	18.53333, 31.83333 		https://www.geonames.org/377655	https://www.trismegistos.org/place/3453	"p. [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f119|90]]"
Basse-Égypte	31	31	31,31		https://www.geonames.org/352260	https://www.trismegistos.org/place/2712	"p. [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f66|41]], [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f67|42]], [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f109|80]], [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f111|82]]"
Bathn-el-Bakarah				Note : non identifié.			"p. [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f112|83]]"
Bathn-el-Baqarah				Note : non identifié.			"p. [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f100|71]]"
Bédréschéïn	29.85	31.26667 	29.85, 31.26667 		https://www.geonames.org/361473		"p. [[https://gallica.bnf.fr/ark:/12148/bpt6k55516z/f127|98]]"
